observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg
88585,60353.238004975225,34.0,30.0,r,0.8255010873788402,0.94099888975528,24.143034602983068,146.1220134257365,-10.866733251561234,130.96900693737598
88661,60353.274550569084,34.0,30.0,i,1.276383363698021,1.4895174740851838,23.13466421850523,203.61293392672496,-25.412042258616935,30.681605047950995
88737,60353.312509518226,34.0,30.0,r,1.1590234254220617,1.3467438265475202,23.736771613140593,213.14990354689812,-34.461484046078446,11.708150559012507
88813,60353.35170156618,34.0,30.0,i,0.9922789026879717,1.1438916091094546,23.431803571837648,200.52366353511198,-5.071062479588414,100.00180411883267
88896,60354.02100423213,34.0,30.0,r,1.3135353759480972,1.5347145692799238,23.163692470412403,57.00833213419863,-62.370377985295654,38.17264215394616
88934,60354.04011561198,34.0,30.0,i,1.2059312075005064,1.4038092548667962,23.066425698348567,50.21028994326355,-75.98247418411144,29.830832001086087
88972,60354.05802857659,31.0,30.0,u,0.7794398518849737,0.8849633234610386,23.85820962029434,93.64635111378882,6.884745180971272,253.44583276906246
89010,60354.07573688455,34.0,30.0,r,1.125967757857232,1.3065301190477276,23.62227606397242,83.80104734523732,12.833100570509906,273.1111069618242
89048,60354.09332460897,34.0,30.0,r,0.745573039268844,0.843762821494944,24.330659942771362,85.79342633692981,-35.257263249166115,353.7073225122091
89086,60354.11063314787,34.0,30.0,r,0.7763893306908167,0.881252227117782,24.190351323647967,73.77042868335984,-19.003859374736724,317.9978085611175
89124,60354.12930471625,34.0,30.0,i,0.8774125198896817,1.0041514840507078,23.55024365718869,73.32816432998823,-36.118406598895284,338.430457357272
89162,60354.14718752648,31.0,30.0,u,0.9386211523193826,1.0786145405345287,23.604701284646723,172.89412800638763,-22.16897141700528,184.496802659403
89200,60354.16549285497,34.0,30.0,r,0.7446018181286714,0.8425812872611574,24.27958632386781,155.1871854910488,-20.211598546004254,193.99571818969744
89238,60354.18280354621,34.0,30.0,r,0.779450291265635,0.8849760234375122,24.201536984430053,156.85978571801746,-12.016883237688086,213.50302153392965
89285,60355.019022985965,34.0,30.0,i,0.9836764130645541,1.133426293265881,23.065516100523237,84.62371512154938,-14.885190135631934,163.78899059873254
89362,60355.055475585534,34.0,30.0,r,0.8842353199510604,1.01245172743438,23.920297210499818,112.93076299994905,3.165075484844924,149.8018911748168
89439,60355.09344079239,34.0,30.0,g,0.7800081925007065,0.8856547354023193,24.67723675797728,79.06900166832718,-32.38003339579801,264.6032733660045
89516,60355.12974554623,34.0,30.0,r,0.8063225940752944,0.9176673893860029,24.213899686170542,93.43488521812202,-26.119022521383627,251.05501273555774
89593,60355.16610374538,34.0,30.0,i,0.8135889913915685,0.9265072887975285,23.663770281682698,91.46834515950498,-40.57913086951675,270.4747318777839
89670,60355.20359661977,34.0,30.0,r,0.9477454323651958,1.0897146379138636,23.96631753372862,103.03724237231822,-32.04500448844439,257.8966578265563
89747,60355.239350647935,34.0,30.0,r,0.7091471607116686,0.7994491006224679,24.30453774661053,167.22538118915807,-67.74364219868835,7.204580361319971
89824,60355.27858760295,34.0,30.0,g,0.7026459007239727,0.7915400252116457,24.84247840281491,188.06455876598832,-22.849555830330555,121.11616768362825
89901,60355.31676996796,34.0,30.0,r,0.8584659295907227,0.9811021041249667,23.994056925648884,200.69173265180993,11.350452195182982,161.2233646746869
89978,60355.35333735822,34.0,30.0,i,0.6477127627317786,0.7247113901846455,23.89275531668374,215.08592460807066,1.2767130599169068,155.6389827606659
116701,60394.987131823334,34.0,30.0,i,1.1402621643176014,1.3239199079289556,22.583172287986166,97.24085945712898,-19.614751347826626,298.88939444755937
116790,60395.02874989518,34.0,30.0,z,0.6275872134590227,0.7002277535997843,23.03970561169057,92.47497842258365,-21.905117950720175,325.5590211776333
116879,60395.07089275568,34.0,30.0,y,0.7422221189159893,0.839686276053515,21.94926108547367,83.11295866244583,-68.28547561134178,9.282730196457265
116968,60395.114165360894,34.0,30.0,z,0.8310684666254088,0.9477718572085265,22.44097827823659,83.04660006259832,-76.68088644779132,359.38421083065316
117057,60395.15912302334,34.0,30.0,i,1.1898656944115094,1.384264835050498,22.120874743810916,142.75110849368664,12.66432521568783,290.27167882552396
117146,60395.20042984199,34.0,30.0,z,1.6792368197107028,1.9796068366310253,21.481861721060426,157.9324775415536,1.4208253448960477,296.2152421685701
117235,60395.2415057389,34.0,30.0,y,0.7852977373775067,0.892089704838816,21.556519801380393,158.3249922950475,10.164373589082764,302.2958678350275
117324,60395.283052977,34.0,30.0,i,0.7315901275251013,0.8267519799575441,22.74013943448796,239.18013324478136,-2.4054405465390483,222.17854547135784
117413,60395.32561554024,34.0,30.0,z,0.6849657713244053,0.7700313519761621,22.738798340021123,246.58582821372022,-10.36037303163502,224.4429966477929
117502,60395.37015996661,34.0,30.0,y,0.7563660848381364,0.8568930472483411,22.00233377712026,227.9569523881878,-24.90141937734176,326.664099309141
117594,60395.986282815706,34.0,30.0,i,0.7859410038252157,0.8928722674272697,23.05443838845274,127.33782835301936,-12.019642125748916,201.88959393510808
117685,60396.028895151314,34.0,30.0,z,0.7170092559926999,0.8090136934217761,22.929444458518976,118.63900230034514,-4.996300698763024,254.49554763681041
117776,60396.07156044747,34.0,30.0,y,0.8073295602440105,0.9188924090559738,22.029885279676705,117.45616730678599,-2.09566963099772,277.5786332623587
117867,60396.114735627154,34.0,30.0,i,0.8354818212606306,0.9531409017769229,22.94011359726629,114.1479769729211,-14.236018011893618,302.7471238009155
117958,60396.15736027361,34.0,30.0,z,0.6469587795245778,0.7237941356746689,22.920735443448734,142.97972597333785,-18.19312066472717,302.0003358345561
118049,60396.20161426217,34.0,30.0,i,0.5979287047114423,0.66414684271465,23.194491541379747,150.25395882913986,-30.741104058013036,323.99138062137615
118140,60396.24475720915,34.0,30.0,z,0.962229397734769,1.107335033740595,22.22610849218759,172.97157764876016,-21.49053788400619,308.2514296608906
118231,60396.287943328316,34.0,30.0,y,0.9447294211963325,1.0860455245697476,21.549134184527105,160.90883902494292,-24.70176538589353,312.82872019981704
118322,60396.33009472119,34.0,30.0,y,1.2798276269424764,1.4937075753558107,21.339512347272343,284.47863248382345,-69.95813913646603,126.11913319210642
118413,60396.3727734485,34.0,30.0,y,0.6253790956217242,0.6975414788585452,22.24926347559062,223.1581224655678,-53.28957249157274,13.652584988875484
118505,60396.98543746538,34.0,30.0,r,1.0830050364311716,1.2542640345878,23.472902039813658,119.02074305248784,3.3219360986708244,204.9019732536031
118596,60397.027830920844,34.0,30.0,i,0.6731806358971304,0.7556942042544165,23.427660218464915,115.86873936693515,7.96094923548491,232.51232408185552
118687,60397.07069339525,34.0,30.0,z,0.9603986661714199,1.1051078663885887,22.596503148721215,100.41253195669992,-22.34242677284747,288.6901259043135
118778,60397.114307594966,34.0,30.0,i,0.7409266945043615,0.8381103339469118,23.145881418330404,145.28602311671378,8.389045982413549,234.76412768031034
118869,60397.156745594526,34.0,30.0,z,0.7540350161983408,0.8540571973215825,22.717396718912042,172.04532310140107,0.014455678509772665,219.2144888960895
118960,60397.19904397455,34.0,30.0,y,0.7071435326288434,0.7970115968720723,22.10574782760287,184.66267978469926,0.008415373391475274,223.75527339042503
119051,60397.24125178089,34.0,30.0,i,1.0511974476765904,1.2155686711394045,22.41032840646212,192.48062862427489,3.1828626503541972,234.65706139429886
119142,60397.28351366739,34.0,30.0,z,0.8659081569948397,0.9901559087528463,22.325531302841824,201.7866916441567,9.440052856677175,240.0294273736527
119233,60397.327652862194,34.0,30.0,i,0.8356829789764634,0.9533856191927779,22.735655578004025,193.59234383495215,-45.178199998694,321.5792145619468
119324,60397.372008973165,34.0,30.0,y,0.8452208993572173,0.9649889286584152,21.82895501578909,261.4652292316666,14.821291330901381,205.40139644482176
119422,60397.9845960932,34.0,30.0,r,0.7262524431138121,0.820258446610477,24.083362597959574,133.78790830291842,-29.758805568739678,159.88425089311428
119512,60398.02727115234,34.0,30.0,i,0.7337881317702714,0.8294259510587243,23.59831007921871,143.33479465737767,-36.051547726608995,135.71713619314747
119602,60398.0713363713,34.0,30.0,z,0.6980320659026504,0.7859270874728107,23.102353085376176,126.41421897247649,-45.088470486222604,18.012086551371556
119692,60398.11679632474,34.0,30.0,i,0.7106805675812518,0.8013145591012795,23.420075292513367,150.19739477935084,-12.059218498454685,263.6856091360561
119782,60398.16144713605,34.0,30.0,y,0.8628179542318941,0.986396537995005,22.064434907330256,159.08878427256937,-14.378600116764213,280.7719979312414
119872,60398.202797976475,34.0,30.0,y,1.210030713651819,1.408796488627517,21.623795635350294,186.6907011930126,-16.325188839214704,251.84013509823774
119962,60398.24414127754,34.0,30.0,y,1.0588224730781226,1.2248448577592732,21.633074274202194,209.51387410576504,4.262612087960479,234.5614559360885
120052,60398.285789969734,34.0,30.0,i,1.1556402596825135,1.3426280531417438,22.47254939567224,198.27331326397746,-8.787398199221641,282.1168475663574
120142,60398.32760955837,34.0,30.0,z,1.219509472388641,1.4203278252903175,22.06959044527352,178.76584128409277,-20.153897432391226,309.3816152495373
120232,60398.37238826593,34.0,30.0,z,0.8317712810845181,0.9486268626332338,22.526803676174065,242.68143679286968,11.517552559079338,252.6160353193106
120327,60398.98375901721,34.0,30.0,r,0.7735228197638191,0.8777649875472252,23.831476125842666,123.94108870670597,-62.18644413635382,84.34208930491819
120417,60399.02839575264,34.0,30.0,r,0.9055447416069324,1.0383755980619616,23.942014520603657,150.3823595356482,1.9585805641851233,206.5372562458829
120507,60399.07199240735,34.0,30.0,r,0.8986150877730534,1.0299453622543229,23.603470769268526,140.72000567939241,2.4595580652406395,246.74228780558985
120597,60399.11424362908,34.0,30.0,i,0.8407455683236364,0.9595444870117232,23.26998070601485,143.54877725679034,3.4904856877359274,264.68148888495773
120687,60399.15614095733,34.0,30.0,z,0.8782861429353935,1.0052142858094812,22.778805522491904,171.39040888446917,-1.330842989871479,246.661250665983
120777,60399.20048796534,34.0,30.0,i,0.8277157310014411,0.9436931034080792,23.287309820382127,168.00205510771775,-22.54167672065646,306.5480058759091
120867,60399.243333739476,34.0,30.0,z,0.7021087686991511,0.7908865799259746,22.924505446586295,206.3607302189347,-8.020946046106094,239.63776766416657
120957,60399.28642881267,34.0,30.0,y,0.7283382738881684,0.8227959536352414,22.167296722951065,210.57527811987663,-0.9390918382948139,259.8678208681296
121047,60399.32777438764,34.0,30.0,y,0.6414227654467953,0.7170593253610649,22.333461782019334,200.0860179335085,-27.019989218815844,318.5230496601036
121137,60399.36964795385,34.0,30.0,i,0.734223985825479,0.8299561871356192,23.037180175438678,208.11874363847446,-30.675860276307446,322.4651180907176
